part_code,description,material,quantity,unit_price,total_price,remarks
J655,J655,,1,,,
21989313,"009, -, (EURO, 4/5)-, 2.1m, CAB, SCR, L1=20,, L2=0,, L3=80",,1,,,
21987710,"010, -, (Euro, 4/5), -, 2.3m, CAB, SCR, L1=105,, L2=65,, L3=105",,1,,,
21989314,"011, -, (BEACON)-, 2.1m, CAB, BEA, L1=20,, L2=0,, L3=80",,1,,,
21987714,"012, -, (BEACON), -, 2.3m, CAB, BEA, L1=105,, L2=65,, L3=105",,1,,,
21989316,"013, -, (AIR-SUSPENSION)-, 2.1m, CAB, A_SUS, L1=20,, L2=0,, L3=80",,1,,,
21987715,"014, -, (AIR, SUSPENSION), -, 2.3m, CAB, A_SUS, L1=105,, L2=65,, L3=105",,1,,,
21989306,"029, -, (DRL)-2.1m, CAB, DRL, L1=20,, L2=0,, L3=80",,1,,,
A03.A,15,N,1,,,995847
A03.B,15,M,1,,,995847
A03B,15,N,1,,,21171233
A07.A,23,L,1,,,20429800
A07.B,23,K,1,,,20429801
A12A.X1,37,D,1,,,20737547
A12A.X2,37,C,1,,,20367826
A20,33,C,1,,,60111077
A125,17,L,1,,,994417
A149A.CN1,39,F,1,,,978310
A149A.CN2,40,F,1,,,23341207
A149A.CN3(1),39,F,1,,,996539
A149A.CN3(2),39,G,1,,,996538
A154,37,C,1,,,995854
A189.A,21,F,1,,,994119
B25,8,E,1,,,8397424
BATT_30,28,G,1,,,965886
BB_2,32,G,1,,,20409331
CPT_30,36,O,1,,,994551
E32(1),35,I,1,,,20367822
E32_A,33,H,1,,,20367822
F01,27,G,1,,,20378934
F02,27,G,1,,,20378934
F03,27,G,1,,,20378932
F04,27,G,1,,,20378932
F05,27,G,1,,,20378932
F06,27,G,1,,,20378932
F07,27,G,1,,,20378932
F08,26,G,1,,,20378932
F09,26,G,1,,,20378932
F10,26,G,1,,,20378932
F11,26,G,1,,,20378932
F12,26,G,1,,,20378932
F13,26,G,1,,,20378932
F14,26,G,1,,,20378934
F15,25,G,1,,,20378935
F16,25,G,1,,,20378935
F21,27,G,1,,,20378936
F22,27,G,1,,,20378934
F23,27,G,1,,,20378932
F24,26,G,1,,,20378932
F25,26,G,1,,,20378932
F26,26,G,1,,,20378932
F27,26,G,1,,,20378932
F28,26,G,1,,,20378932
F29,26,G,1,,,20378932
F30,26,G,1,,,20378932
F31,25,G,1,,,20378932
F32,"25, G, 20378932",,1,,,
F33,"25, G, 20378932",,1,,,
F34,"25, G, 20378934",,1,,,
F36,"26, H, 20378936",,1,,,
F37,"26, H, 20378935",,1,,,
F38,"26, H, 20378932",,1,,,
F39,"26, H, 20378932",,1,,,
F40,"26, H, 20378932",,1,,,
F41,"26, H, 20378932",,1,,,
F42,"25, H, 20378932",,1,,,
F43,"25, H, 20378932",,1,,,
F44,"25, H, 20378935",,1,,,
F45,"25, H, 20378934",,1,,,
F46,"29, F, 20378936",,1,,,
F47,"29, F, 20378935",,1,,,
F48,"29, F, 20378935",,1,,,
F49,"29, F, 20378935",,1,,,
F50,"29, I, 20378932",,1,,,
F51,"28, G, 20378932",,1,,,
F52,"27, G, 20378932",,1,,,
F53,"27, H, 20378932",,1,,,
F54,"27, H, 20378932",,1,,,
F55,"24, H, 20378934",,1,,,
F59,"24, G, 20378938",,1,,,
F60,"24, G, 20378934",,1,,,
F61,"24, G, 20378934",,1,,,
F62,"24, G, 20378932",,1,,,
F63,"24, G, 20378932",,1,,,
F64,"23, G, 20378934",,1,,,
F65,"23, G, 20378934",,1,,,
F66,"23, G, 20378934",,1,,,
F67,"23, G, 20378934",,1,,,
F70,"23, G, 20378932",,1,,,
F71,"23, G, 20378932",,1,,,
F72,"23, G, 20378932",,1,,,
FBB1,"39, I, 20378932",,1,,,
FBB2,"38, I, 20378932",,1,,,
FBB3,"38, I, 20378934",,1,,,
FBB4,"38, I, 20378935",,1,,,
FBB5,"39, I, 20378932",,1,,,
FBB6,"38, I, 20378934",,1,,,
FBB7,"38, I, 20378934",,1,,,
H05,"5, K, 984434",,1,,,
IA1,"10, C, 60111107",,1,,,
IA2,"12, C, 60111108",,1,,,
ID1,"5, G, 9128443",,1,,,
ID2,"5, G, 21138421",,1,,,
IF1,"40, K, 9128443",,1,,,
IF2,"42, K, 60111107",,1,,,
9128443,"IF3, 40, K",,1,,,
9128443,"IP1, 43, M",,1,,,
21138421,"IP2, 43, M",,1,,,
993376,"IP_SRS, 8, F",,1,,,
Identity,"J01, 38, J",,1,,,
981097,"J02, 24, E",,1,,,
981100,"J03, 37, M",,1,,,
981100,"J04, 37, L",,1,,,
25311195,"J05, 35, J",,1,,,
25311195,"J06, 33, J",,1,,,
95580004,"J07, 34, J",,1,,,
95580004,"J07, 35, J",,1,,,
95580004,"J08, 34, J",,1,,,
95580004,"J08, 33, J",,1,,,
980881,"J10, 25, J",,1,,,
25311195,"J12, 22, I",,1,,,
25311195,"J13, 19, J",,1,,,
25311195,"J14, 20, I",,1,,,
25311195,"J15, 34, I",,1,,,
25311195,"J17, 16, K",,1,,,
25311195,"J18, 14, K",,1,,,
21453210,"J19, 41, L",,1,,,
21453210,"J19, 42, J",,1,,,
995809,"J20, 44, K",,1,,,
980881,"J21, 12, K",,1,,,
980881,"J22, 11, G",,1,,,
981100,"J24, 11, H",,1,,,
980881,"J25, 7, K",,1,,,
980881,"J26, 6, K",,1,,,
980881,"J27, 9, F",,1,,,
95580004,"J29, 40, K",,1,,,
60111112,"J30, 40, J",,1,,,
980881,"J31, 18, F",,1,,,
25311195,"J32, 16, M",,1,,,
25311195,"J33, 16, N",,1,,,
980881,"J34, 41, L",,1,,,
980881,"J35, 34, F",,1,,,
980881,"J36, 34, E",,1,,,
95580004,"J37, 34, H",,1,,,
981097,"J38, 41, K",,1,,,
995848,"J39, 15, M",,1,,,
980881,"J40, 40, M",,1,,,
981100,"J41, 24, J",,1,,,
981098,"J42, 8, E",,1,,,
21171237,"J43, 15, N",,1,,,
981102,"J44, 29, K",,1,,,
981097,"J45, 6, G",,1,,,
60111112,"J46, 5, F",,1,,,
J47,N,,15,,,995848
J48,G,,5,,,60111113
J49,C,,12,,,60111113
J50,O,,37,,,25311195
J51,O,,37,,,21453210
J52,O,,37,,,981097
J53,M,,37,,,95580004
J53,N,,37,,,95580004
J53,M,,37,,,95580004
J54,J,,35,,,981097
J55,M,,39,,,981097
J55,M,,40,,,981097
J55,M,,37,,,981097
J55,M,,38,,,981097
J55,M,,39,,,981097
J55,M,,39,,,981097
J56,J,,35,,,82637932
J57,O,,38,,,981097
J58,O,,38,,,981097
J59,P,,38,,,981097
J60,P,,38,,,981097
J61,J,,22,,,82637932
J62,J,,16,,,82657706
J63,I,,35,,,95580004
J64,L,,37,,,95580004
J64,J,,37,,,95580004
J64,J,,36,,,95580004
J64,J,,36,,,95580004
J64,J,,35,,,95580004
J64,K,,37,,,95580004
J64,J,,37,,,95580004
J64,L,,37,,,95580004
J64,K,,37,,,95580004
J65,P,,38,,,981097
J66,P,,38,,,981098
J67,O,,36,,,981098
J68,K,,14,,,981097
J69,K,,13,,,981097
J70,J,,22,,,95580004
J70,J,,21,,,95580004
J71,M,,12,,,981097
J71,K,,12,,,981097
J72,N,,15,,,981097
J73,F,,12,,,981097
J75,K,,13,,,981097
J75,K,,13,,,981097
J75,K,,12,,,981097
J75,K,,12,,,981097
J75,"11, K",981097,1,,,
J75,"11, K",981097,1,,,
J76,"8, K",981097,1,,,
J76,"8, K",981097,1,,,
J76,"9, K",981097,1,,,
J76,"9, K",981097,1,,,
J76,"9, K",981097,1,,,
J77,"6, K",981097,1,,,
J78,"41, H",981097,1,,,
J79,"10, K",981097,1,,,
J80,"7, I",981097,1,,,
J81,"7, J",95580004,1,,,
J82,"8, H",95580004,1,,,
J82,"9, H",95580004,1,,,
J82,"9, G",95580004,1,,,
J82,"9, F",95580004,1,,,
J82,"9, F",95580004,1,,,
J83,"9, E",981097,1,,,
J84,"8, E",95580004,1,,,
J84,"8, E",95580004,1,,,
J85,"8, E",95580004,1,,,
J85,"8, E",95580004,1,,,
J86,"36, O",981097,1,,,
J87,"37, P",22654306,1,,,
J88,"13, F",981097,1,,,
J89,"11, K",980881,1,,,
J90,"11, D",95580004,1,,,
J91,"9, C",60111112,1,,,
J92,"10, C",95580004,1,,,
J93,"11, C",95580004,1,,,
J94,"10, K",981097,1,,,
J94,"10, K",981097,1,,,
J95,"11, E",95580004,1,,,
J95,"11, H",95580004,1,,,
J95,"10, J",95580004,1,,,
J96,"11, D",981097,1,,,
J97,"6, H",95580004,1,,,
J98,"10, D",95580004,1,,,
J98,"10, D",95580004,1,,,
J99,"11, I",981097,1,,,
J99,"11, I",981097,1,,,
J99,"11, H",981097,1,,,
J99,"11, H",981097,1,,,
J100,"6, G",95580004,1,,,
J101,"6, G",95580004,1,,,
J102,"16, I",95580004,1,,,
J102,"16, I",95580004,1,,,
J104,"11, G",981097,1,,,
J105,"12, G",,1,,,981097
J105,"13, G",,1,,,981097
J106,"36, P",,1,,,981097
J107,"13, G",,1,,,981097
J108,"36, P",,1,,,981097
J109,"36, P",,1,,,981097
J110,"35, H",,1,,,95580004
J110,"37, H",,1,,,95580004
J111,"34, F",,1,,,95580004
J111,"34, G",,1,,,95580004
J111,"34, H",,1,,,95580004
J111,"34, G",,1,,,95580004
J111,"34, G",,1,,,95580004
J112,"34, F",,1,,,981097
J117,"34, E",,1,,,95580004
J117,"34, F",,1,,,95580004
J117,"34, F",,1,,,95580004
J118,"34, E",,1,,,981097
J125,"31, F",,1,,,95580004
J125,"31, I",,1,,,95580004
J125,"31, H",,1,,,95580004
J125,"28, C",,1,,,95580004
J125,"31, F",,1,,,95580004
J125,"31, I",,1,,,95580004
J125,"31, D",,1,,,95580004
J126,"25, J",,1,,,95580004
J126,"26, J",,1,,,95580004
J126,"26, J",,1,,,95580004
J127,"26, J",,1,,,981097
J128,"27, J",,1,,,95580004
J128,"27, L",,1,,,95580004
J128,"27, K",,1,,,95580004
J129,"24, K",,1,,,981097
J130,"28, M",,1,,,981097
J130,"27, J",,1,,,981097
J130,"27, K",,1,,,981097
J132,"28, L",,1,,,981097
J134,"36, P",,1,,,981098
J135,"36, P",,1,,,981098
J136,"21, C",,1,,,95580004
J136,"21, G",,1,,,95580004
J136,"21, H",,1,,,95580004
J137,"15, N",,1,,,981097
J138,"15, M",,1,,,981097
J139,"15, H",,1,,,981097
J139,"15, H",,1,,,981097
J140,"37, H",,1,,,981097
J142,"42, K",,1,,,981097
981097,"J144, 19, D",,1,,,
981097,"J144, 20, E",,1,,,
993438,"J145, 28, G",,1,,,
981097,"J146, 20, H",,2,,,
981097,"J146, 20, G",,1,,,
981097,"J146, 20, F",,1,,,
25311195,"J148, 16, J",,1,,,
981097,"J149, 20, E",,1,,,
981097,"J149, 19, D",,1,,,
981097,"J150, 20, F",,1,,,
95580004,"J151, 18, H",,1,,,
95580004,"J151, 18, G",,1,,,
95580004,"J151, 18, F",,2,,,
95580004,"J151, 18, E",,1,,,
981097,"J152, 19, F",,2,,,
981097,"J153, 20, F",,1,,,
981097,"J154, 20, E",,1,,,
Identity,"J155, 20, C",,1,,,
981097,"J156, 20, C",,2,,,
981097,"J158, 16, K",,1,,,
95580004,"J159, 18, K",,2,,,
981097,"J160, 19, L",,1,,,
981100,"J161, 31, J",,1,,,
981097,"J163, 19, M",,2,,,
981097,"J164, 17, M",,2,,,
981097,"J165, 18, L",,2,,,
981097,"J171, 43, L",,4,,,
981097,"J172, 42, K",,4,,,
980881,"J173, 27, C",,1,,,
980881,"J178, 29, C",,1,,,
981097,"J179, 31, I",,1,,,
981097,"J180, 28, E",,2,,,
981097,"J181, 26, E",,1,,,
981097,"J184, 24, E",E,1,0,0,
20409291,"J186, 26, J",J,1,0,0,
20409291,"J186, 27, J",J,1,0,0,
20409291,"J186, 27, J",J,1,0,0,
20409291,"J186, 28, J",J,1,0,0,
20409291,"J186, 28, J",J,1,0,0,
20409291,"J186, 31, J",J,1,0,0,
20409291,"J186, 31, J",J,1,0,0,
20409291,"J186, 29, J",J,1,0,0,
20409291,"J186, 29, J",J,1,0,0,
20409291,"J186, 30, J",J,1,0,0,
20409291,"J186, 30, J",J,1,0,0,
20409291,"J187, 26, J",J,1,0,0,
20409291,"J187, 25, J",J,1,0,0,
20409291,"J187, 22, J",J,1,0,0,
20409291,"J187, 24, J",J,1,0,0,
20409291,"J187, 23, J",J,1,0,0,
980881,"J190, 22, C",C,1,0,0,
981097,"J192, 29, L",L,1,0,0,
981097,"J192, 28, L",L,1,0,0,
981097,"J193, 29, K",K,1,0,0,
981097,"J193, 28, K",K,1,0,0,
981097,"J193, 29, K",K,1,0,0,
981097,"J194, 24, L",L,1,0,0,
981097,"J195, 24, K",K,1,0,0,
981097,"J199, 20, M",M,1,0,0,
981097,"J199, 21, M",M,1,0,0,
981097,"J200, 21, M",M,1,0,0,
981097,"J200, 20, M",M,1,0,0,
995809,"J202, 8, E",E,1,0,0,
95580004,"J205, 20, J",J,1,0,0,
20409291,"J206, 19, J",J,1,0,0,
20409291,"J206, 18, J",J,1,0,0,
20409291,"J206, 17, J",J,1,0,0,
20409291,"J206, 16, J",J,1,0,0,
95580004,"J207, 16, J",J,1,0,0,
95580004,"J207, 16, K",K,1,0,0,
21994778,"J209, 38, H",H,1,0,0,
9558004,"J212, 20, I",I,1,0,0,
9558004,"J212, 20, I",I,1,0,0,
995809,"J213, 44, L",L,1,0,0,
983021,"J215, 39, H",H,1,0,0,
983021,"J215, 40, H",H,1,0,0,
983021,"J216, 42, H",H,1,0,0,
983021,"J216, 42, H",H,1,0,0,
95580004,"J219, 42, H",H,1,0,0,
95580004,"J219, 43, H",H,1,0,0,
95580004,"J221, 41, I",I,1,0,0,
J223,"29, F, 25311195",F,1,,,
J224,"40, H, 95580004",H,1,,,
J224,"39, H, 95580004",H,1,,,
J225,"16, I, 980881",I,1,,,
J226,"27, C, 981097",C,1,,,
J227,"28, D, 981097",D,1,,,
J228,"37, H, 25311195",H,1,,,
J229,"14, F, Identity",F,1,,,
J230,"27, C, 981097",C,1,,,
J230,"26, C, 981097",C,1,,,
J231,"42, H, 95580004",H,1,,,
J231,"41, H, 95580004",H,1,,,
J231,"42, H, 95580004",H,1,,,
J233,"41, H, 981097",H,1,,,
J234,"41, H, 95580004",H,1,,,
J235,"39, H, 95580004",H,1,,,
J236,"39, H, 981097",H,1,,,
J237,"38, H, 981097",H,1,,,
J238,"37, H, 25311195",H,1,,,
J239,"39, H, 95580004",H,1,,,
J240,"35, H, 95580004",H,1,,,
J240,"37, H, 95580004",H,1,,,
J241,"26, F, 25311195",F,1,,,
J242,"28, F, 25311195",F,1,,,
J243,"25, F, 25311195",F,1,,,
J244,"29, L, 21453210",L,1,,,
J244,"28, K, 21453210",K,1,,,
J245,"24, F, 25311195",F,1,,,
J246,"40, L, 95580004",L,1,,,
J246,"40, K, 95580004",K,1,,,
J247,"26, L, 20757796",L,1,,,
J248,"30, L, 21453210",L,1,,,
J248,"29, I, 21453210",I,1,,,
J249,"40, K, 948211",K,1,,,
J251,"34, H, 981097",H,1,,,
J252,"32, J, 980881",J,1,,,
J253,"34, J, 95580004",J,1,,,
J253,"34, I, 95580004",I,1,,,
J254,"34, H, 95580004",H,1,,,
J254,"35, H, 95580004",H,1,,,
J255,"44, L, 981098",L,1,,,
J256,"33, J, 20409291",J,1,,,
J256,"32, J, 20409291",J,1,,,
J256,"32, I, 20409291",I,1,,,
J258,"30, J, 981100",J,1,,,
J259,"29, J, 981100",J,1,,,
J260,"28, J, 981100",J,1,,,
J261,"27, J, 981100",J,1,,,
95580004,"J262, 6, K",,1,,,
95580004,"J263, 6, L",,1,,,
95580004,"J263, 7, L",,1,,,
95580004,"J263, 7, K",,1,,,
981098,"J266, 8, E",,1,,,
981097,"J267, 38, K",,1,,,
981097,"J267, 37, I",,1,,,
981097,"J270, 12, J",,1,,,
981097,"J270, 12, J",,1,,,
981097,"J271, 11, J",,1,,,
20757796,"J272, 12, J",,1,,,
95580004,"J274, 16, K",,1,,,
981097,"J275, 15, K",,1,,,
95580004,"J276, 14, K",,1,,,
95580004,"J276, 15, K",,1,,,
95580004,"J276, 15, K",,1,,,
95580004,"J276, 14, K",,1,,,
95580004,"J277, 15, L",,1,,,
95580004,"J277, 16, L",,1,,,
95580004,"J277, 15, K",,1,,,
981100,"J278, 16, L",,1,,,
981100,"J279, 15, K",,1,,,
95580004,"J288, 38, K",,1,,,
95580004,"J288, 38, K",,1,,,
95580004,"J293, 32, G",,1,,,
980881,"J300, 11, J",,1,,,
Identity,"J301, 11, E",,1,,,
Identity,"J302, 14, G",,1,,,
981101,"J304, 20, M",,1,,,
981100,"J305, 18, M",,1,,,
981099,"J306, 19, M",,1,,,
981102,"J307, 18, L",,1,,,
Identity,"J309, 19, D",,1,,,
Identity,"J310, 20, D",,1,,,
Identity,"J312, 29, L",,1,,,
Identity,"J313, 29, K",,1,,,
980881,"J316, 41, K",,1,,,
95580004,"J317, 24, K",,1,,,
95580004,"J318, 25, K",,1,,,
981097,"J319, 25, L",,1,,,
981097,"J320, 25, L",,1,,,
Identity,"J323, 10, C",,1,,,
Identity,"J324, 12, C",,1,,,
Identity,"J325, 6, G",,1,,,
Identity,"J326, 6, G",,1,,,
Identity,"J327, 40, K",,1,,,
Identity,"J328, 41, K",,1,,,
60111112,"J329, 42, J",,1,,,
J330,"43, L, 981102",L,1,,,
J331,"43, K, 981098",K,1,,,
J333,"42, M, 60111112",M,1,,,
J334,"42, M, 60111113",M,1,,,
J335,"42, M, 981097",M,1,,,
J336,"42, M, 981097",M,1,,,
J337,"41, L, 95580004",L,1,,,
J337,"41, L, 95580004",L,1,,,
J337,"41, K, 95580004",K,1,,,
J337,"41, L, 95580004",L,1,,,
J338,"41, K, 95580004",K,1,,,
J343,"25, K, 21453210",K,1,,,
J345,"20, I, 95580004",I,1,,,
J347,"15, H, 981097",H,1,,,
J347,"16, H, 981097",H,1,,,
J349,"14, G, 981097",G,1,,,
J351,"41, M, 981097",M,1,,,
J351,"41, M, 981097",M,1,,,
J351,"41, M, 981097",M,1,,,
J354,"41, M, 980881",M,1,,,
J355,"41, L, 981097",L,1,,,
J356,"42, M, 981097",M,1,,,
J357,"42, M, 981097",M,1,,,
J357,"41, M, 981097",M,1,,,
J358,"41, M, 980881",M,1,,,
J359,"42, L, 981097",L,1,,,
J359,"42, L, 981097",L,1,,,
J363,"15, H, 981097",H,1,,,
